task,symbol,fold,threshold,coverage,n,accuracy,balanced_accuracy
direction,EURUSD,0,0.5,1.0,2276,0.5347100175746925,0.5347100175746924
direction,EURUSD,0,0.55,0.24868189806678384,566,0.5547703180212014,0.5386782530301513
direction,EURUSD,0,0.6,0.040421792618629174,92,0.6413043478260869,0.5
direction,EURUSD,1,0.5,1.0,3053,0.538159187684245,0.537890037553602
direction,EURUSD,1,0.55,0.2220766459220439,678,0.5412979351032449,0.5318425822643614
direction,EURUSD,1,0.6,0.04127088110055683,126,0.6190476190476191,0.5065984379208187
high_volatility,EURUSD,0,0.5,1.0,239,0.602510460251046,0.5986412236412237
high_volatility,EURUSD,0,0.55,0.702928870292887,168,0.6369047619047619,0.6252282410225198
high_volatility,EURUSD,0,0.6,0.502092050209205,120,0.6833333333333333,0.6625
high_volatility,EURUSD,0,0.65,0.34309623430962344,82,0.7682926829268293,0.7235690235690235
high_volatility,EURUSD,0,0.7,0.18828451882845187,45,0.8222222222222222,0.7638888888888888
high_volatility,EURUSD,1,0.5,1.0,321,0.7133956386292835,0.6817760773258155
high_volatility,EURUSD,1,0.55,0.7819314641744548,251,0.7410358565737052,0.7030913978494624
high_volatility,EURUSD,1,0.6,0.5109034267912772,164,0.8048780487804879,0.7417543859649123
high_volatility,EURUSD,1,0.65,0.32710280373831774,105,0.8666666666666667,0.8181818181818181
high_volatility,EURUSD,1,0.7,0.20249221183800623,65,0.9076923076923077,0.7980769230769231
high_volatility,EURUSD,1,0.75,0.102803738317757,33,0.9393939393939394,0.8821428571428571
direction,GBPUSD,0,0.5,1.0,2336,0.5124143835616438,0.512331561628854
direction,GBPUSD,0,0.55,0.1605308219178082,375,0.5866666666666667,0.5436827179071652
direction,GBPUSD,1,0.5,1.0,3119,0.5235652452709202,0.5241262408474892
direction,GBPUSD,1,0.55,0.16639948701506893,519,0.5472061657032755,0.5420553113117871
high_volatility,GBPUSD,0,0.5,1.0,246,0.6747967479674797,0.6394176931690929
high_volatility,GBPUSD,0,0.55,0.7682926829268293,189,0.7195767195767195,0.6621376811594203
high_volatility,GBPUSD,0,0.6,0.5813008130081301,143,0.7412587412587412,0.682896379525593
high_volatility,GBPUSD,0,0.65,0.4186991869918699,103,0.7766990291262136,0.6922268907563025
high_volatility,GBPUSD,0,0.7,0.24390243902439024,60,0.8,0.6825396825396826
high_volatility,GBPUSD,0,0.75,0.13008130081300814,32,0.8125,0.7004830917874396
