symbol,task,horizon,bundle,model,fold,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate
EURUSD,direction,4,price,logistic,0,4550,0.5083516483516484,0.5075689935064935,0.5159744124922696,0.24973964387992845,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,price,hist_boost,0,4550,0.5125274725274725,0.5119318181818182,0.5212893282312925,0.2502333437603848,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,price,extra_trees,0,4550,0.5079120879120879,0.507521645021645,0.5143367346938776,0.25049616253165063,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,price,catboost,0,4550,0.5118681318681318,0.5118371212121212,0.5204854669140383,0.2500824016298294,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,price,xgboost,0,4550,0.5147252747252747,0.514745670995671,0.5272738868274582,0.24957858484854933,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,context,logistic,0,4550,0.5178021978021978,0.5170454545454546,0.5252077535559678,0.24977244787952685,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,context,hist_boost,0,4550,0.5068131868131868,0.5063041125541126,0.5169812925170068,0.2505879767926859,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,context,extra_trees,0,4550,0.5221978021978022,0.5216856060606061,0.5261460265924551,0.24952464444368241,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,context,catboost,0,4550,0.5171428571428571,0.5161931818181819,0.5240669449598021,0.2498110425534724,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,context,xgboost,0,4550,0.516043956043956,0.5154085497835498,0.526034419449598,0.25004762338279,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,fomc,logistic,0,4550,0.5215384615384615,0.5203260281385281,0.5250939239332096,0.24983560979374284,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,fomc,hist_boost,0,4550,0.4989010989010989,0.4984239718614719,0.514854089363018,0.2507707521374932,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,fomc,extra_trees,0,4550,0.529010989010989,0.5286728896103896,0.5314902210884354,0.24913240274748336,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,fomc,catboost,0,4550,0.5208791208791209,0.5201163419913419,0.5286537569573284,0.2497041764882148,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,fomc,xgboost,0,4550,0.5125274725274725,0.5119318181818182,0.5238466295609152,0.2502029399080559,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,cot_exploratory,logistic,0,4550,0.5195604395604395,0.5192099567099567,0.5272236394557823,0.24980584780694579,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,cot_exploratory,hist_boost,0,4550,0.5010989010989011,0.5007169913419913,0.5167223252937538,0.2508892783970604,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,cot_exploratory,extra_trees,0,4550,0.5210989010989011,0.5207251082251083,0.5284185606060605,0.24939135691045028,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,cot_exploratory,catboost,0,4550,0.5189010989010989,0.518256222943723,0.5259863945578231,0.2495715977607349,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
EURUSD,direction,4,cot_exploratory,xgboost,0,4550,0.5184615384615384,0.5181074134199134,0.5234233920841064,0.25033895561931696,0.5076923076923077,0.24995798547382242,0.48527472527472526,0.4851663961038961,0.5076923076923077
