task,feature,importance
direction,return_1,0.00022517730496462995
direction,return_4,-0.0005124919406834053
direction,return_24,0.000844938749194076
direction,return_120,0.0003012572533849234
direction,ema_20_atr,0.0013815280464217021
direction,ema_50_atr,0.001395712443584829
direction,ema_200_atr,0.0005680206318505002
direction,rsi,0.0014750967117989067
direction,atr_pct,0.0023895067698259664
direction,macd_atr,-0.0027047066408767786
direction,range_atr,-0.0003359929078013968
direction,hour_sin,0.014157237266279857
direction,hour_cos,-0.00010041908446156711
direction,fomc_sentiment,-0.0020986460348161686
direction,fomc_age_days,-5.883301096062018e-05
direction,rv_4,0.0009141682785300439
direction,momentum_atr_4,0.0004848484848485324
direction,channel_4,-0.00019705029013531808
direction,rv_24,-0.00024242424242419217
direction,momentum_atr_24,-0.00019422952933586166
direction,channel_24,-0.0020365087040618754
direction,rv_72,-0.0009489039329464063
direction,momentum_atr_72,-0.0009177143778207331
direction,channel_72,0.003598081882656423
direction,rv_120,-0.000986943907156627
direction,momentum_atr_120,0.0005264345583494793
direction,channel_120,0.0022786911669890517
direction,rv_480,0.0012189716312056935
direction,momentum_atr_480,0.0007168762088974878
direction,channel_480,-0.0032205029013539313
direction,rv_ratio_4,0.0003048033526757606
direction,rv_ratio_24,0.0005332849774339158
direction,rv_ratio_72,-0.00127095422308184
direction,rv_ratio_120,-0.0016277401676337473
direction,body_atr,0.001298597678916898
direction,upper_wick_atr,0.0019150548033527448
direction,lower_wick_atr,-0.0002840103159251761
direction,weekday_sin,-0.001835428755641429
direction,weekday_cos,-0.0035184558349451445
direction,gap_hours,0.0
high_volatility,return_1,-0.004836701465376958
high_volatility,return_4,0.004230118443316407
high_volatility,return_24,-0.0003671423554576503
high_volatility,return_120,0.009306260575296044
high_volatility,ema_20_atr,0.009050857197586396
high_volatility,ema_50_atr,0.004341857421064373
high_volatility,ema_200_atr,0.00917855888644122
high_volatility,rsi,0.001324905021868883
high_volatility,atr_pct,0.03115921208057974
high_volatility,macd_atr,-0.005563004820738793
high_volatility,range_atr,0.002418350732688405
high_volatility,hour_sin,0.02163745490534108
high_volatility,hour_cos,0.009066819908693291
high_volatility,fomc_sentiment,-0.0039986591322670835
high_volatility,fomc_age_days,0.020551990550075023
high_volatility,rv_4,-0.0029052134214475243
high_volatility,momentum_atr_4,-0.000606583022060514
high_volatility,channel_4,-0.011245729974778943
high_volatility,rv_24,0.003503815087954535
high_volatility,momentum_atr_24,0.004956421798678279
high_volatility,channel_24,0.01075886728601986
high_volatility,rv_72,0.01595472975130093
high_volatility,momentum_atr_72,0.0065287488427034175
high_volatility,channel_72,0.005682725154040114
high_volatility,rv_120,0.007374772531366684
high_volatility,momentum_atr_120,0.010272004597260779
high_volatility,channel_120,0.005315582798582463
high_volatility,rv_480,0.06068224627270694
high_volatility,momentum_atr_480,-0.0007263033553619458
high_volatility,channel_480,0.010032563930657953
high_volatility,rv_ratio_4,-0.003024933754748956
high_volatility,rv_ratio_24,-0.0018197490661814308
high_volatility,rv_ratio_72,0.01704817546212049
high_volatility,rv_ratio_120,0.00700763017590907
high_volatility,body_atr,0.010639146952718429
high_volatility,upper_wick_atr,0.0
high_volatility,lower_wick_atr,-0.0014526067107237806
high_volatility,weekday_sin,0.026482137726271393
high_volatility,weekday_cos,0.002418350732688405
high_volatility,gap_hours,0.0
