symbol,task,horizon,bundle,model,development_balanced_accuracy,confidence_threshold,previously_inspected,accuracy_lift_ci_low,accuracy_lift_ci_high,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate,confident_n,confident_coverage,confident_accuracy,confident_positive_rate,confident_baseline_accuracy,confident_balanced_accuracy,confident_majority_accuracy
AUDCAD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0054186299383834,0.0601757883291047,2759,0.5338890902500906,0.5351063303190963,0.5500182202309862,0.2479755111275473,0.4769844146429866,0.2502178967893298,0.5009061254077565,0.5026050717540079,0.4769844146429866,2759,1.0,0.5338890902500906,0.4769844146429866,0.5009061254077565,0.5351063303190963,0.4769844146429866
AUDCAD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0173010380622837,0.1107266435986159,289,0.6747404844290658,0.5865079365079365,0.6724867724867725,0.2088622071995312,0.6539792387543253,0.2290095085947871,0.6089965397923875,0.5786243386243386,0.3460207612456747,118,0.4083044982698962,0.788135593220339,0.2457627118644068,0.6864406779661016,0.6038357225881441,0.7542372881355932
AUDCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0347896749521988,0.0868164435946462,2615,0.5617590822179732,0.5667328042328043,0.5887242798353909,0.244985914329858,0.4646271510516252,0.250746111742967,0.5005736137667304,0.5029012345679011,0.4646271510516252,2615,1.0,0.5617590822179732,0.4646271510516252,0.5005736137667304,0.5667328042328043,0.4646271510516252
AUDCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0291970802919708,0.1496350364963503,274,0.7226277372262774,0.6868319435894565,0.7495103251441043,0.1947986825243027,0.6094890510948905,0.2380876186462156,0.635036496350365,0.6183334266047344,0.3905109489051095,131,0.4781021897810219,0.7938931297709924,0.3129770992366412,0.732824427480916,0.7039295392953929,0.6870229007633588
AUDJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0072347266881028,0.0711515273311896,2488,0.52491961414791,0.5236455637304795,0.5310146276209032,0.2492391657267564,0.5044212218649518,0.2500825504709191,0.4863344051446945,0.4860667629562851,0.5044212218649518,2488,1.0,0.52491961414791,0.5044212218649518,0.4863344051446945,0.5236455637304795,0.5044212218649518
AUDJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0077220077220077,0.1196911196911196,259,0.7567567567567568,0.6863576594345825,0.8218277449046678,0.1672559420005259,0.6525096525096525,0.227677042638762,0.6988416988416989,0.6835305719921104,0.3474903474903475,151,0.583011583011583,0.8609271523178808,0.23841059602649,0.7814569536423841,0.7274154589371981,0.7615894039735099
AUDNZD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.015284677111196,0.0714558654948414,2617,0.5368742835307604,0.5341387144803562,0.559249153708932,0.2465961544402219,0.5227359572029041,0.2497903031255888,0.4933129537638517,0.494387322723676,0.4772640427970959,2617,1.0,0.5368742835307604,0.4772640427970959,0.4933129537638517,0.5341387144803562,0.5227359572029041
AUDNZD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0073260073260073,0.1648351648351648,273,0.663003663003663,0.6159003831417624,0.6880297225124811,0.2160032316407713,0.6373626373626373,0.231187357158162,0.5787545787545788,0.5454545454545454,0.3626373626373626,98,0.358974358974359,0.7551020408163265,0.2653061224489796,0.673469387755102,0.624465811965812,0.7346938775510204
AUDUSD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0153113879003558,0.0409252669039145,2810,0.5202846975088968,0.5222612347804136,0.5302485872097944,0.2495895282935108,0.4879003558718861,0.2500817110971683,0.507473309608541,0.5077878967128583,0.4879003558718861,2810,1.0,0.5202846975088968,0.4879003558718861,0.507473309608541,0.5222612347804136,0.4879003558718861
AUDUSD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0406779661016949,0.1457627118644067,295,0.711864406779661,0.6503606623996749,0.7273697043584273,0.1951909407775562,0.6542372881355932,0.2292459562390813,0.6203389830508474,0.5850350502895458,0.3457627118644067,141,0.4779661016949152,0.7943262411347518,0.2907801418439716,0.7163120567375887,0.6823170731707316,0.7092198581560284
