task,symbol,year,balanced_accuracy
direction,AUDCAD,2023,0.5635746834656916
direction,AUDCAD,2024,0.5252470279450363
direction,AUDCAD,2025,0.5091865079365079
direction,AUDCAD,2026,0.5465381184382077
direction,AUDCHF,2023,0.5739324005809201
direction,AUDCHF,2024,0.530815846836673
direction,AUDCHF,2025,0.558723903991925
direction,AUDCHF,2026,0.6280591615237284
direction,AUDJPY,2023,0.5220421613685688
direction,AUDJPY,2024,0.5167155425219941
direction,AUDJPY,2025,0.5252542926465099
direction,AUDJPY,2026,0.526685948947433
direction,AUDNZD,2023,0.5466529692470837
direction,AUDNZD,2024,0.5354851530119797
direction,AUDNZD,2025,0.5359468611617608
direction,AUDNZD,2026,0.5113082472216806
direction,AUDUSD,2023,0.5349647287377188
direction,AUDUSD,2024,0.5103535353535353
direction,AUDUSD,2025,0.5293308739430241
direction,AUDUSD,2026,0.508133091946456
direction,CADCHF,2023,0.49835177772545325
direction,CADCHF,2024,0.5615798751727095
direction,CADCHF,2025,0.5610998849452281
direction,CADCHF,2026,0.5952529452529453
direction,CADJPY,2023,0.513222116995702
direction,CADJPY,2024,0.5205780430600575
direction,CADJPY,2025,0.5200922266139657
direction,CADJPY,2026,0.5227319270939996
direction,CHFJPY,2023,0.4935586531306474
direction,CHFJPY,2024,0.5281348788198104
direction,CHFJPY,2025,0.5202117495358755
direction,CHFJPY,2026,0.4822840873141411
direction,EURAUD,2023,0.5069924033149171
direction,EURAUD,2024,0.5219990262132856
direction,EURAUD,2025,0.5075558213716108
direction,EURAUD,2026,0.5179880827199439
direction,EURCAD,2023,0.5117295628796177
direction,EURCAD,2024,0.5234848484848484
direction,EURCAD,2025,0.5266001057921185
direction,EURCAD,2026,0.5047720797720797
direction,EURCHF,2023,0.5059853918101596
direction,EURCHF,2024,0.5324314574314575
direction,EURCHF,2025,0.5523814265325766
direction,EURCHF,2026,0.5467217135382603
direction,EURGBP,2023,0.5184516163562406
direction,EURGBP,2024,0.49941651269084897
direction,EURGBP,2025,0.516128815923601
direction,EURGBP,2026,0.5324056895485467
direction,EURJPY,2023,0.4891306509676008
direction,EURJPY,2024,0.5416798221380272
direction,EURJPY,2025,0.5208039888639805
direction,EURJPY,2026,0.5261724137931034
direction,EURNZD,2023,0.4573812009434327
direction,EURNZD,2024,0.6111630321910696
direction,EURNZD,2025,0.5053578119145747
direction,EURNZD,2026,0.48702766531713904
direction,EURUSD,2023,0.5181809154999504
direction,EURUSD,2024,0.5115782639490045
direction,EURUSD,2025,0.531952545068929
direction,EURUSD,2026,0.4799631949022193
direction,GBPAUD,2023,0.4854621437780643
