symbol,variant,trades,net_pnl_usd,avg_r,profit_factor,max_drawdown_pct,last_30pct_avg_r,trades_per_month_15m,trades_per_month_5m
EURUSD,15 Dakika giris / 730 gun,4,-4.119994603269177,-0.019310448393136198,0.9274333104718521,0.4999999999999917,0.012923397005181525,,
EURUSD,5 Dakika giris / 180 gun (ayni gate'ler),3,-58.961137223591436,-0.392001126056355,0.4089109050266523,0.9974999999999999,0.8239966218309349,0.16438356164383564,0.5
GBPUSD,15 Dakika giris / 730 gun,2,-11.298724353075812,-0.1130164207989715,0.0,0.11298724353076978,-0.07982298643535587,,
GBPUSD,5 Dakika giris / 180 gun (ayni gate'ler),3,-43.600830884918324,-0.2885673316998274,0.5641318516530186,0.5000000000000849,-1.000000000000153,0.08219178082191782,0.5
EURCHF,15 Dakika giris / 730 gun,5,-104.0957271880404,-0.41644299427038706,0.34422211781700834,1.0868582214683504,-0.5902585505096732,,
EURCHF,5 Dakika giris / 180 gun (ayni gate'ler),8,18.464920049503903,0.04704437708347847,1.1897930394557341,0.9657426928461457,0.1413149696595011,0.20547945205479454,1.3333333333333333
AUDCAD,15 Dakika giris / 730 gun,5,-100.5578105231276,-0.40216239224037215,0.3518713781972592,1.492512500000007,-1.0000000000000162,,
AUDCAD,5 Dakika giris / 180 gun (ayni gate'ler),3,-149.25125,-1.0,0.0,1.4925124999999935,-1.0000000000000002,0.20547945205479454,0.5
USDJPY,15 Dakika giris / 730 gun,1,-4.698025344470248,-0.09396050688940497,0.0,0.04698025344470807,,,
USDJPY,5 Dakika giris / 180 gun (ayni gate'ler),5,-96.88154927968853,-0.38727769944773993,0.3638703409986721,1.522984314735222,0.06273925248656143,0.04109589041095891,0.8333333333333334
